,ASIANPAINT.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS
ASIANPAINT.NS,1.0,0.22193577080703153,0.30251195815894305,0.22891141968812007,0.38583090847711143,0.28820597600001807,0.20353843771425753,0.22084348232512335,0.312974087446668,0.31597500611418333,0.2902000009991742,0.38839901543807426,0.21167041660280023,0.17025993242516746,0.3193092440155726,0.23978373661822705,0.17622166730904545,0.2421102637593645,0.20550406536637728,0.41327384525994104
BHARTIARTL.NS,0.22193577080703153,1.0,0.27762712086970004,0.2910876028341043,0.18812963857717077,0.29005547864613396,0.20141621451014172,0.22371383530318278,0.23159616558286802,0.29197528034456105,0.27864579961332336,0.2723722356562275,0.23997627370406815,0.22383170884360148,0.2797683657424649,0.2793434808073705,0.19213280044787573,0.28342925015907744,0.17985719185483737,0.31111269788734686
HDFCBANK.NS,0.30251195815894305,0.27762712086970004,1.0,0.36528394616629617,0.25291319162741854,0.51298214462616,0.26573694923087104,0.2794421883751733,0.5767197026142944,0.4661346560225207,0.391160376383698,0.39347961508303325,0.28446352692867594,0.2645736167535623,0.3937021374263345,0.4189102501509654,0.19851604326909894,0.3508263936326792,0.24036771715472563,0.40590979194618093
HINDALCO.NS,0.22891141968812007,0.2910876028341043,0.36528394616629617,1.0,0.17914174863377605,0.4115069942219864,0.2652090490561771,0.26442369756884154,0.3006787244829384,0.4466277692852218,0.36493328027806277,0.36680793247367866,0.37244171649555846,0.2915210821233659,0.35977775779531385,0.4381481180720673,0.2689046745228789,0.6929208757711329,0.23576278096857245,0.4054123162616638
HINDUNILVR.NS,0.38583090847711143,0.18812963857717077,0.25291319162741854,0.17914174863377605,1.0,0.21932354149341302,0.2236409387966681,0.254355540973174,0.2743309682232338,0.23094786913687956,0.22424218505395255,0.3050469304055698,0.133503717934675,0.11971716777989845,0.2581553363725862,0.1743483903302606,0.18140203604340926,0.16491487666404891,0.23275384119834364,0.2917299480308535
ICICIBANK.NS,0.28820597600001807,0.29005547864613396,0.51298214462616,0.4115069942219864,0.21932354149341302,1.0,0.23765557236617033,0.28960906538168746,0.4370613637139322,0.4983525771873294,0.3885147516365055,0.4112357354390004,0.32372467666030524,0.278157905992112,0.3656118996163463,0.6523605619819846,0.22789571048314883,0.42635283652277517,0.20556653559795338,0.45048144317234
INFY.NS,0.20353843771425753,0.20141621451014172,0.26573694923087104,0.2652090490561771,0.2236409387966681,0.23765557236617033,1.0,0.16247303643996167,0.23340286261086926,0.26126521780385686,0.2246251344901712,0.20545111103706162,0.1768641870062728,0.13912271104072418,0.25567056606420335,0.1964786159960996,0.17120160955646155,0.22400391273558637,0.5843848898015581,0.23418514564052062
ITC.NS,0.22084348232512335,0.22371383530318278,0.2794421883751733,0.26442369756884154,0.254355540973174,0.28960906538168746,0.16247303643996167,1.0,0.2659205262547607,0.30192473466750847,0.2862433375876695,0.24218481331904146,0.2479374833102777,0.2278824538447751,0.2515761871877789,0.3162306316252913,0.18356140267426338,0.27883921116809784,0.1837034617143147,0.2636986218788864
KOTAKBANK.NS,0.312974087446668,0.23159616558286802,0.5767197026142944,0.3006787244829384,0.2743309682232338,0.4370613637139322,0.23340286261086926,0.2659205262547607,1.0,0.41165076974664033,0.3356725342581897,0.36343311606903883,0.2706701530985661,0.24807896232923043,0.3557747859764585,0.36046368745199897,0.20812824752432432,0.2944664455555874,0.20597743233382196,0.36802411560314297
LT.NS,0.31597500611418333,0.29197528034456105,0.4661346560225207,0.4466277692852218,0.23094786913687956,0.4983525771873294,0.26126521780385686,0.30192473466750847,0.41165076974664033,1.0,0.4105151989036315,0.4156740279538829,0.3775931233249312,0.32539725053520957,0.3696399678882796,0.5042729798891442,0.24615249414944268,0.44846943345960066,0.24539305852966029,0.47226763424380297
