,ASIANPAINT.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS
ASIANPAINT.NS,0.06132829907795936,0.016094433026910365,0.016589003749927708,0.021758684858509562,0.021282245998479703,0.021734139099545104,0.013295708670817799,0.013347317471585112,0.02020100646977582,0.02080021940764725,0.02163450513290236,0.026172805014536393,0.013689509627363974,0.010512926863567328,0.021458589454859543,0.019444744404714803,0.012447896395620868,0.02159378380538103,0.011815811728417974,0.02715985144445997
BHARTIARTL.NS,0.016094433026910365,0.08575033638881162,0.01800226308059364,0.0327172166001715,0.012270580833479847,0.02586473241432601,0.015557755410349386,0.015987836691154868,0.01767597777946001,0.022727346097588298,0.024563458400631285,0.021703133469579205,0.018352003723611822,0.01634256620738194,0.02223185706614594,0.026786039932117783,0.01604817413839892,0.029891497459032166,0.012228083886056862,0.024176568666374895
HDFCBANK.NS,0.016589003749927708,0.01800226308059364,0.049033692279969704,0.031046497168803276,0.012474086870140266,0.03459063606766879,0.015521505291998954,0.015101434950570166,0.03328482310465542,0.027437429189660772,0.02607481585585338,0.023708890232258844,0.016450198999310203,0.014607455076274223,0.02365779644120107,0.030375283568275686,0.012538601738936766,0.027978514094133503,0.012357656587470648,0.023852606076801675
HINDALCO.NS,0.021758684858509562,0.0327172166001715,0.031046497168803276,0.1473226244033829,0.015315159209166204,0.04809732743213634,0.0268508263288582,0.02476931756473872,0.030079567582380756,0.0455685459270084,0.042166474382384043,0.03831026286294157,0.03733277818915871,0.027898793174948828,0.037473844790857,0.05506906836455585,0.029440099561785796,0.09578631309745378,0.02100983558494308,0.04129435345866164
HINDUNILVR.NS,0.021282245998479703,0.012270580833479847,0.012474086870140266,0.015315159209166204,0.049611226827035816,0.014875933694359678,0.01313941058730499,0.013826432259577708,0.01592571669321261,0.013673782518133898,0.015035795008118184,0.018488357574210777,0.00776570003229773,0.00664855313275308,0.015603797647805735,0.012716277033727635,0.011524931154017762,0.013229240321239984,0.012036480736967144,0.017243682079143195
ICICIBANK.NS,0.021734139099545104,0.02586473241432601,0.03459063606766879,0.04809732743213634,0.014875933694359678,0.09272951774483845,0.019089370019826905,0.02152286574285445,0.03468850499982184,0.04033949288690281,0.03561521824576386,0.03407544506015401,0.025744358433703877,0.0211193785832864,0.03021263071314368,0.06505021765897943,0.0197948105929255,0.0467587879847082,0.01453363008388636,0.03640364875749863
INFY.NS,0.013295708670817799,0.015557755410349386,0.015521505291998954,0.0268508263288582,0.01313941058730499,0.019089370019826905,0.06957755891615859,0.010459112511446204,0.016046301131759585,0.018318964250321288,0.017836598648151,0.014746358148647247,0.012183491454376326,0.009149836895481236,0.0183009884238177,0.016970785310619848,0.01288097200586898,0.021280179473244572,0.0357887274776846,0.016392792716686585
ITC.NS,0.013347317471585112,0.015987836691154868,0.015101434950570166,0.02476931756473872,0.013826432259577708,0.02152286574285445,0.010459112511446204,0.05956043869388912,0.016914726172922973,0.019586749204207575,0.02102971694178556,0.01608301769547233,0.01580223076258124,0.01386661819397445,0.01666125434427536,0.025271727774714915,0.012778106714085509,0.02450856465918468,0.010408999051381084,0.017078346208813173
KOTAKBANK.NS,0.02020100646977582,0.01767597777946001,0.03328482310465542,0.030079567582380756,0.01592571669321261,0.03468850499982184,0.016046301131759585,0.016914726172922973,0.0679310507112468,0.028519888486313715,0.026337167725855787,0.025775099662996646,0.018423485702086816,0.016121477043361317,0.025163355401614636,0.030764349916016686,0.015472888378179698,0.02764108384358879,0.01246425974605438,0.025454786155337857
LT.NS,0.02080021940764725,0.022727346097588298,0.027437429189660772,0.0455685459270084,0.013673782518133898,0.04033949288690281,0.018318964250321288,0.019586749204207575,0.028519888486313715,0.07065931948652925,0.03284982515849306,0.03006625278909663,0.02621235666535674,0.021566483168239756,0.026663850677740266,0.04389372908322485,0.018663589125174265,0.04293412945155032,0.015144665433436219,0.03331439399459367
