,Minimum Variance,Maximum Sharpe,Equal Weight
ASIANPAINT.NS,0.08070003250736253,0.026228988425780596,0.05
BHARTIARTL.NS,0.04920304510474496,0.17162778591299355,0.05
HDFCBANK.NS,0.11955864989573617,0.010587321748810448,0.05
HINDALCO.NS,1.0946875239346821e-18,0.008123321659880358,0.05
HINDUNILVR.NS,0.1705293746549076,0.07846115849324094,0.05
ICICIBANK.NS,7.389409339003795e-19,1.4497640568481772e-17,0.05
INFY.NS,0.043094640817813196,0.10897667383218036,0.05
ITC.NS,0.11139932591320369,3.414196687163321e-17,0.05
KOTAKBANK.NS,0.00913183077159499,0.0,0.05
LT.NS,2.5681729146339957e-18,1.5870580473241928e-17,0.05
M&M.NS,3.334028797854028e-18,0.10158235028202271,0.05
MARUTI.NS,0.0016276305598861302,0.0420083301167855,0.05
NTPC.NS,0.04978783983340209,1.780603729800674e-17,0.05
POWERGRID.NS,0.12683633477014394,0.18945495212867905,0.05
RELIANCE.NS,1.5178830414797062e-18,0.22730878489787812,0.05
SBIN.NS,9.874942578188658e-19,3.6045456731957017e-17,0.05
SUNPHARMA.NS,0.08727424140244679,8.048585017451423e-18,0.05
TATASTEEL.NS,0.0,0.0356403324569416,0.05
TCS.NS,0.15085705376875796,2.5714630181106913e-17,0.05
ULTRACEMCO.NS,1.0489046487482663e-18,4.567632337485658e-17,0.05
