,Risk Parity
ASIANPAINT.NS,0.056333077390960856
BHARTIARTL.NS,0.05116433461526998
HDFCBANK.NS,0.052604307279388786
HINDALCO.NS,0.030139718900434573
HINDUNILVR.NS,0.0699317526625478
ICICIBANK.NS,0.03546576746201754
INFY.NS,0.06094805939139797
ITC.NS,0.06042035934229065
KOTAKBANK.NS,0.047964584668331214
LT.NS,0.04268261619592652
M&M.NS,0.04222204175037567
MARUTI.NS,0.043171001014750805
NTPC.NS,0.05575534437062529
POWERGRID.NS,0.06658344790734723
RELIANCE.NS,0.04713629036057975
SBIN.NS,0.03538974234318601
SUNPHARMA.NS,0.05678581433774788
TATASTEEL.NS,0.0328623520549414
TCS.NS,0.06923586049823506
ULTRACEMCO.NS,0.04320352745364511
