,Annualized Return (%),Annualized Volatility (%)
ASIANPAINT.NS,17.393115177401675,24.76455109182468
BHARTIARTL.NS,24.730434554040315,29.283158365997984
HDFCBANK.NS,17.988185928591417,22.14355262372542
HINDALCO.NS,27.20609934808551,38.382629457006026
HINDUNILVR.NS,15.601564470889983,22.273577805785006
ICICIBANK.NS,20.59146321873935,30.45152175915653
INFY.NS,18.796988179203368,26.377558438217612
ITC.NS,11.967348399932387,24.40500741525991
KOTAKBANK.NS,16.28290476264116,26.063585845245235
LT.NS,19.860026795656772,26.58182075903174
M&M.NS,24.685251902172123,30.103645846558198
MARUTI.NS,21.567162643535198,27.210823759265672
NTPC.NS,17.97055286012266,26.115435171417893
POWERGRID.NS,20.80243520021856,24.933355343252416
RELIANCE.NS,26.1991554471239,27.13683658955049
SBIN.NS,18.48000132262968,32.74553235483265
SUNPHARMA.NS,12.39701822522763,28.52372226790203
TATASTEEL.NS,26.4473736176271,36.01513841329632
TCS.NS,14.38675956913622,23.21735194463989
ULTRACEMCO.NS,19.398285915381575,26.537439017037734
