Sector,Minimum Variance,Maximum Sharpe,Equal Weight
Automobiles,0.0016276305598861033,0.1435906803988082,0.1
Construction Materials,1.0489046487482665e-18,4.567632337485658e-17,0.05
Consumer/Materials,0.0807000325073625,0.0262289884257805,0.05
Energy,1.5178830414797062e-18,0.2273087848978781,0.05
FMCG,0.2819287005681112,0.07846115849324092,0.1
Financials,0.128690480667331,0.01058732174881045,0.2
Healthcare,0.0872742414024467,8.048585017451423e-18,0.05
IT,0.19395169458657102,0.10897667383218033,0.1
Industrials,2.568172914633996e-18,1.5870580473241928e-17,0.05
Metals,1.0946875239346821e-18,0.0437636541168219,0.1
Power,0.1766241746035459,0.18945495212867902,0.1
Telecom,0.0492030451047449,0.1716277859129935,0.05
